customer_id,age,income,education_rank,marital_clean,total_children,has_children,total_spend,total_purchases,avg_spend_per_purchase,recency,num_web_visits_month,campaign_engagement_rate,customer_tenure_days,web_purchase_ratio,deal_sensitivity,income_per_person,complain,response,conversion_probability,recommendation,segment,pipeline_run_ts
0,39,70951.0,3,Married,0,0,1198.0,17.0,70.47058823529412,66,1,0.0,4782,0.1764705882352941,0.0588235294117647,70951.0,0,0,0.024408348,LOW PRIORITY,At Risk,2026-06-08 06:33:37
1,63,57091.0,3,Single,0,0,577.0,18.0,32.05555555555556,0,5,0.2,4375,0.3888888888888889,0.0555555555555555,57091.0,0,1,0.7388916,HIGH PRIORITY,VIP,2026-06-08 06:33:37
9,49,46098.0,4,Single,2,1,120.0,11.0,10.909090909090908,86,8,0.0,5041,0.2727272727272727,0.3636363636363636,15366.0,0,0,0.34409347,MEDIUM PRIORITY,Loyal,2026-06-08 06:33:37
13,77,25358.0,5,Widow,1,1,32.0,6.0,5.333333333333333,57,6,0.0,4703,0.1666666666666666,0.3333333333333333,12679.0,0,0,0.010510423,LOW PRIORITY,Loyal,2026-06-08 06:33:37
17,53,60491.0,5,Married,1,1,1028.0,28.0,36.71428571428572,81,5,0.0,4657,0.2142857142857142,0.1428571428571428,30245.5,0,0,0.0054713837,LOW PRIORITY,At Risk,2026-06-08 06:33:37
20,59,46891.0,2,Married,1,1,183.0,8.0,22.875,91,4,0.0,4662,0.25,0.125,23445.5,0,0,0.00057541596,LOW PRIORITY,Loyal,2026-06-08 06:33:37
22,48,46310.0,3,Divorced,1,1,309.0,14.0,22.071428571428573,99,8,0.0,4934,0.4285714285714285,0.1428571428571428,23155.0,0,0,0.04092932,LOW PRIORITY,Loyal,2026-06-08 06:33:37
24,64,17144.0,4,Married,2,1,47.0,12.0,3.9166666666666665,96,7,0.0,4495,0.25,0.4166666666666667,5714.666666666667,0,0,0.0031399198,LOW PRIORITY,Loyal,2026-06-08 06:33:37
25,66,65148.0,3,Married,1,1,1115.0,21.0,53.095238095238095,9,4,0.0,4951,0.2857142857142857,0.0952380952380952,32574.0,0,0,0.08612455,LOW PRIORITY,VIP,2026-06-08 06:33:37
35,37,25545.0,3,Married,1,1,210.0,10.0,21.0,35,6,0.0,5020,0.2,0.3,12772.5,0,1,0.057104107,LOW PRIORITY,New,2026-06-08 06:33:37
48,60,55761.0,3,Married,1,1,184.0,10.0,18.4,97,6,0.2,4427,0.4,0.2,27880.5,0,0,0.002312272,LOW PRIORITY,Loyal,2026-06-08 06:33:37
49,54,20587.0,3,Single,1,1,25.0,5.0,5.0,39,7,0.0,4410,0.2,0.2,10293.5,0,0,0.0023770933,LOW PRIORITY,New,2026-06-08 06:33:37
55,61,56253.0,3,Married,1,1,597.0,22.0,27.13636363636364,83,6,0.0,4930,0.3181818181818182,0.1818181818181818,28126.5,0,0,0.041271817,LOW PRIORITY,At Risk,2026-06-08 06:33:37
67,52,46423.0,4,Single,2,1,92.0,9.0,10.22222222222222,6,7,0.0,4645,0.2222222222222222,0.3333333333333333,15474.333333333334,0,0,0.38214198,MEDIUM PRIORITY,New,2026-06-08 06:33:37
73,71,51411.0,5,Single,3,1,18.0,4.0,4.5,81,5,0.0,4760,0.0,0.25,12852.75,0,0,0.00039719816,LOW PRIORITY,Loyal,2026-06-08 06:33:37
75,42,41039.0,2,Married,0,0,467.0,15.0,31.133333333333333,32,8,0.0,4700,0.5333333333333333,0.0666666666666666,41039.0,0,0,0.015969992,LOW PRIORITY,New,2026-06-08 06:33:37
78,55,25293.0,3,Married,1,1,37.0,5.0,7.4,51,8,0.0,4648,0.2,0.2,12646.5,0,0,0.009090448,LOW PRIORITY,Loyal,2026-06-08 06:33:37
87,43,27733.0,2,Married,1,1,57.0,7.0,8.142857142857142,16,7,0.0,4668,0.2857142857142857,0.2857142857142857,13866.5,0,0,0.17783302,LOW PRIORITY,New,2026-06-08 06:33:37
89,49,22212.0,2,Married,1,1,69.0,8.0,8.625,49,6,0.0,4563,0.25,0.25,11106.0,0,0,0.00647764,LOW PRIORITY,New,2026-06-08 06:33:37
92,36,34176.0,3,Single,1,1,89.0,11.0,8.090909090909092,12,6,0.0,4409,0.2727272727272727,0.3636363636363636,17088.0,0,0,0.13728845,LOW PRIORITY,New,2026-06-08 06:33:37
113,73,30833.0,3,Married,2,1,28.0,6.0,4.666666666666667,33,5,0.0,4709,0.1666666666666666,0.3333333333333333,10277.666666666666,0,0,0.003767588,LOW PRIORITY,New,2026-06-08 06:33:37
115,58,43456.0,4,Single,1,1,393.0,17.0,23.11764705882353,0,5,0.0,4821,0.2941176470588235,0.1764705882352941,21728.0,0,0,0.08836224,LOW PRIORITY,New,2026-06-08 06:33:37
123,73,67046.0,3,Widow,1,1,993.0,15.0,66.2,92,2,0.0,4900,0.2666666666666666,0.1333333333333333,33523.0,0,0,0.012899036,LOW PRIORITY,At Risk,2026-06-08 06:33:37
125,66,53083.0,2,Married,2,1,271.0,17.0,15.941176470588236,65,7,0.2,4771,0.2941176470588235,0.3529411764705882,17694.333333333332,0,0,0.09573106,LOW PRIORITY,Loyal,2026-06-08 06:33:37
143,54,61209.0,3,Single,0,0,957.0,13.0,73.61538461538461,73,2,0.0,4669,0.3846153846153846,0.0769230769230769,61209.0,0,0,0.032157045,LOW PRIORITY,At Risk,2026-06-08 06:33:37
146,64,76045.0,5,Single,0,0,1323.0,21.0,63.0,78,2,0.2,4587,0.1904761904761904,0.0476190476190476,76045.0,0,0,0.10876012,LOW PRIORITY,At Risk,2026-06-08 06:33:37
153,71,23272.0,3,Divorced,0,0,46.0,5.0,9.2,29,4,0.0,4616,0.2,0.2,23272.0,0,0,0.017068341,LOW PRIORITY,New,2026-06-08 06:33:37
158,79,71604.0,5,Married,0,0,1196.0,17.0,70.3529411764706,3,4,0.2,4585,0.4705882352941176,0.0588235294117647,71604.0,0,1,0.9311076,HIGH PRIORITY,VIP,2026-06-08 06:33:37
164,47,28973.0,5,Married,0,0,269.0,13.0,20.692307692307693,59,8,0.0,4985,0.3846153846153846,0.1538461538461538,28973.0,0,0,0.24613658,LOW PRIORITY,Loyal,2026-06-08 06:33:37
175,38,71952.0,3,Married,1,1,1443.0,22.0,65.5909090909091,93,4,0.4,4896,0.3636363636363636,0.0909090909090909,35976.0,0,0,0.11978307,LOW PRIORITY,At Risk,2026-06-08 06:33:37
176,44,67506.0,2,Single,1,1,331.0,12.0,27.58333333333333,73,3,0.0,4539,0.3333333333333333,0.0833333333333333,33753.0,0,0,0.00047155068,LOW PRIORITY,Loyal,2026-06-08 06:33:37
178,68,62503.0,3,Married,1,1,973.0,26.0,37.42307692307692,40,5,0.0,4857,0.3076923076923077,0.1538461538461538,31251.5,0,0,0.01270882,LOW PRIORITY,VIP,2026-06-08 06:33:37
182,78,44124.0,5,Married,1,1,397.0,17.0,23.352941176470587,62,8,0.0,4775,0.3529411764705882,0.2352941176470588,22062.0,0,0,0.030230422,LOW PRIORITY,Loyal,2026-06-08 06:33:37
193,28,14421.0,1,Married,0,0,16.0,4.0,4.0,81,5,0.2,4493,0.25,0.25,14421.0,0,0,0.0010701424,LOW PRIORITY,Loyal,2026-06-08 06:33:37
194,59,48006.0,3,Married,2,1,41.0,5.0,8.2,55,6,0.0,4381,0.2,0.2,16002.0,0,0,0.0014229178,LOW PRIORITY,Loyal,2026-06-08 06:33:37
195,52,38808.0,3,Single,1,1,246.0,14.0,17.571428571428573,21,8,0.2,5033,0.3571428571428571,0.2857142857142857,19404.0,0,1,0.91062456,HIGH PRIORITY,New,2026-06-08 06:33:37
199,62,45183.0,4,Single,0,0,315.0,13.0,24.23076923076923,33,7,0.2,4886,0.3076923076923077,0.0769230769230769,45183.0,0,0,0.70414007,HIGH PRIORITY,New,2026-06-08 06:33:37
202,76,82032.0,5,Widow,0,0,1234.0,17.0,72.58823529411765,54,1,0.0,4446,0.2352941176470588,0.0,82032.0,0,0,0.054968644,LOW PRIORITY,At Risk,2026-06-08 06:33:37
203,49,81169.0,4,Single,0,0,2089.0,22.0,94.95454545454544,47,2,0.0,4802,0.2272727272727272,0.0454545454545454,81169.0,0,0,0.8716712,HIGH PRIORITY,VIP,2026-06-08 06:33:37
213,61,23091.0,5,Single,2,1,48.0,10.0,4.8,98,7,0.0,4393,0.2,0.4,7697.0,0,0,0.0020529393,LOW PRIORITY,Loyal,2026-06-08 06:33:37
217,68,64857.0,4,Single,0,0,1540.0,23.0,66.95652173913044,78,4,0.0,4944,0.3043478260869565,0.0434782608695652,64857.0,0,0,0.32546824,MEDIUM PRIORITY,At Risk,2026-06-08 06:33:37
221,69,48726.0,3,Married,1,1,242.0,12.0,20.166666666666668,90,6,0.0,4789,0.25,0.25,24363.0,0,0,0.0063941865,LOW PRIORITY,Loyal,2026-06-08 06:33:37
